Subset,Cross-Validated MSE,Best_Subset,Best_MSE
"[0, 7, 9]",222.31477853517816,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[0, 7, 10]",297.02121364655625,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[0, 8, 9]",221.5176343805998,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[0, 8, 10]",295.641852118958,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[0, 9, 10]",297.73100492194436,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 3]",371.5912242984784,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 4]",371.678589690579,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 5]",294.24952929766545,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 6]",301.9745327804369,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 7]",296.55494560932686,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 8]",295.53838140927866,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 9]",297.3204004518746,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 2, 10]",371.9044453085975,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 4]",372.0697631668155,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 5]",294.64572494807,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 6]",302.34943036077374,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 7]",297.15760619328984,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 8]",295.7059192962146,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 9]",297.5793785268164,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 3, 10]",371.63678757175245,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 5]",294.720320005154,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 6]",302.4347789127516,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 7]",296.95141835144227,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 8]",295.67872573202476,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 9]",297.87756159695687,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 4, 10]",371.96579929011574,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 5, 6]",225.10434277181997,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 5, 7]",219.4445479564452,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 5, 8]",218.6562602984157,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 5, 9]",220.46411847176518,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 5, 10]",294.4996209493996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 6, 7]",227.82165153544756,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 6, 8]",225.93443681652943,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 6, 9]",228.27926181412332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 6, 10]",302.0465038431114,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 7, 8]",220.6582124931791,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 7, 9]",222.43146570374196,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 7, 10]",296.9415556838609,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 8, 9]",221.30376544542187,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 8, 10]",295.4945028689215,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[1, 9, 10]",297.6333913033445,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 4]",371.63956231756345,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 5]",294.094826151622,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 6]",301.8675310428525,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 7]",296.67727813925757,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 8]",295.8721097737306,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 9]",297.0974856084831,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 3, 10]",371.8256266380576,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 5]",294.2049198744956,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 6]",301.9796990998375,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 7]",296.5007065225209,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 8]",295.8371489269421,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 9]",297.4208380081253,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 4, 10]",371.93159153618006,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
"[2, 5, 6]",224.5188147499302,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0046714138801068e-27
